propertyType,furnishing,flrNum,facing,totalFlrNum,city,carpetArea,bedrooms,bathrooms,exactPrice
Multistorey Apartment,Unfurnished,3.0,East,4,Patna,850.0,2,2,5100000
Multistorey Apartment,Semi-Furnished,1.0,East,3,Patna,756.0,2,2,4220000
Multistorey Apartment,Semi-Furnished,1.0,East,4,Patna,962.0,3,2,7748000
Multistorey Apartment,Semi-Furnished,4.0,East,4,Patna,1000.0,3,2,7600000
Multistorey Apartment,Semi-Furnished,5.0,East,6,Patna,1000.0,3,2,5040000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,7327000
Multistorey Apartment,Unfurnished,12.0,East,13,Patna,1450.0,3,2,12800000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,4,4,18009600
Multistorey Apartment,Unfurnished,4.0,South - East,7,Patna,1230.0,3,2,79040000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,15522000
Multistorey Apartment,Semi-Furnished,2.0,East,4,Patna,1000.0,2,2,5642000
Multistorey Apartment,Unfurnished,1.0,West,4,Patna,850.0,3,2,6500000
Multistorey Apartment,Semi-Furnished,3.0,North - East,5,Patna,1200.0,3,2,6580000
Multistorey Apartment,Unfurnished,2.0,Unknown,5,Patna,1150.0,3,2,9800000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,7190000
Multistorey Apartment,Semi-Furnished,1.0,East,3,Patna,700.0,2,2,4680000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,1,1,2775000
Multistorey Apartment,Unfurnished,2.0,Unknown,3,Patna,1000.0,1,1,3745500
Multistorey Apartment,Unfurnished,1.0,East,4,Patna,1000.0,2,2,7600000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,4216000
Multistorey Apartment,Semi-Furnished,5.0,East,6,Patna,1012.0,3,2,7800000
Multistorey Apartment,Unfurnished,1.0,West,12,Patna,1078.0,3,2,7042600
Multistorey Apartment,Semi-Furnished,1.0,East,4,Patna,1448.0,3,2,14000000
Multistorey Apartment,Unfurnished,5.0,East,5,Patna,1000.0,3,2,7500000
Multistorey Apartment,Semi-Furnished,3.0,East,3,Patna,1300.0,3,3,13000000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,5,Patna,1000.0,4,3,9993500
